T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
338.032,326.695,286.535,305.33,255.945,307.309,329.23,299.394,235.154,243.484,237.894,240.543,239.249,310.062,382.114,534.797,314.709,368.229
370.502,364.856,307.749,319.071,269.077,308.274,329.681,296.244,232.028,244.004,232.032,242.507,257.247,381.237,506.697,691.83,394.431,417.08
407.381,428.26,344.59,330.995,284.696,319.818,331.705,301.122,236.478,242.289,235.651,246.082,276.157,454.286,599.199,870.936,437.628,437.863
406.771,439.987,347.944,340.292,293.191,329.888,335.88,297.482,233.328,245.969,234.764,247.024,289.201,496.987,643.726,961.019,454.525,427.579
351.565,398.371,335.432,331.788,292.307,328.313,336.248,304.484,233.837,240.361,234.372,248.79,284.84,499.987,642.063,1003.847,427.622,428.763
320.196,356.073,315.006,313.24,283.976,325.585,338.702,299.189,237.924,242.155,234.285,245.08,279.277,493.919,642.384,1012.816,421.761,436.239
371.287,369.097,309.743,315.214,288.949,319.959,326.07,300.033,233.969,243.69,240.596,246.958,284.84,519.086,667.873,1070.812,446.798,441.493
402.618,378.796,309.37,310.669,287.84,327.395,328.266,296.933,234.552,239.799,232.219,248.007,293.646,532.695,694.107,1133.392,506.966,470.597
449.094,474.925,344.14,337.846,309.223,350.871,334.394,298.63,237.731,244.556,234.343,254.455,320.281,602.753,759.199,1266.845,582.404,492.423
498.986,651.687,475.712,491.563,399.027,410.949,339.029,300.315,236.239,239.662,234.689,247.745,322.591,610.474,757.868,1327.714,644.138,508.652
526.962,766.511,594.163,618.547,463.368,455.325,349.718,297.774,235.622,244.205,236.913,247.2,341.116,654.851,763.71,1367.491,662.585,532.47
546.659,848.77,672.033,692.891,533.079,515.094,363.995,304.864,234.17,247.597,233.86,256.663,373.208,709.248,776.418,1395.309,671.67,544.587
540.372,844.657,676.307,700.658,526.126,509.654,358.969,301.972,237.752,243.516,234.96,255.852,359.221,658.622,725.301,1350.106,650.177,515.845
517.439,841.981,706.502,706.734,522.492,508.845,354.157,304.167,232.685,242.828,231.794,248.142,325.602,550.502,583.757,1161,545.709,434.757
514.79,828.82,707.342,706.809,518.875,494.499,359.219,302.398,232.63,244.358,233.451,252.01,305.586,479.024,493.766,1028.095,500.044,419.374
