T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
207.749,177.584,186.921,233.461,265.203,319.437,298.302,236.894,240.953,211.177,260.098,274.029,229.136,201.947,177.756,167.951,169.519,166.399
201.35,178.994,185.423,231.756,260.495,319.199,308.243,237.891,251.337,223.058,263.954,269.032,223.705,198.088,175.527,170.963,169.558,164.919
207.988,179.521,187.022,238.618,266.797,315.792,303.847,236.88,266.962,248.109,264.908,274.496,229.101,196.674,178.777,171.238,168.463,164.817
201.076,177.702,187.643,230.571,260.711,322.106,302.337,237.088,293.016,258.405,273.123,275.161,226.192,200.519,178.395,167.871,165.848,161.834
186.904,175.013,184.064,225.244,265.01,321.003,305.899,238.082,305.716,278.656,272.923,274.804,227.265,196.912,177.017,167.741,167.129,162.729
178.734,173.184,182.781,228.412,263.46,312.235,299.802,236.84,333.369,297.794,287.221,272.349,229.22,199.085,176.443,166.236,168.19,160.015
174.574,172.648,184.52,227.235,268.479,318.686,307.417,243,341.856,295.084,290.926,278.07,229.808,199.452,176.403,168.512,168.83,160.782
173.204,171.205,181.645,226.91,262.338,325.088,304.309,248.128,337.763,298.926,278.632,275.572,224.202,199.563,174.443,169.301,167.147,158.22
173.182,171.102,185.675,228.537,270.704,316.563,304.719,245.484,355.25,297.759,280.294,271.83,232.194,203.554,176.737,166.743,172.753,159.445
168.17,170.447,183.226,228.767,263.283,312.018,298.198,247.822,351.091,297.396,285.239,276.493,229.467,199.786,177.475,168.348,166.362,156.017
172.495,174.497,183.399,225.382,264.588,323.05,299.236,245.21,337.541,296.347,283.926,273.669,229.591,199.874,173.347,166.75,166.093,160.523
170.453,170.461,184.52,231.035,259.65,317.472,303.073,242.266,314.85,261.598,271.567,276.727,228.684,198.534,175.908,166.292,168.203,157.748
187.559,178.335,184.965,225.896,263.714,322.513,302.573,239.449,295.522,245.743,251.365,275.953,227.02,199.9,177.086,171.509,170.64,161.489
220.611,194.589,202.259,242.025,263.045,320.446,305.493,233.699,263.444,224.244,261.761,279.334,225.285,203.261,176.088,174.171,176.72,169.543
237.97,220.013,237.232,297.793,276.01,318.305,306.882,235.604,259.134,219.238,265.209,268.862,231.008,208.361,183.555,181.428,189.784,181.105
245.337,230.835,254.412,355.226,311.051,320.607,303.497,234.862,247.344,208.563,255.942,268.185,227.593,214.22,188.24,188.713,204.368,193.061
251.988,239.805,271.728,407.396,337.756,322.607,302.917,230.545,247.206,205.138,250.555,278.947,233.182,228.179,202.422,201.558,217.242,199.352
261.288,257.96,286.548,471.841,387.707,324.082,307.49,236.011,244.053,200.09,249.353,277.78,240.894,240.581,214.374,216.32,235.871,208.785
261.788,267.216,296.557,511.316,405.383,328.525,301.719,233.769,244.103,198.704,250.675,271.625,242.939,259.481,223.962,218.409,235.28,213.958
269.463,278.745,315.41,552.512,455.559,325.003,308.694,233.471,241.788,197.637,256.417,274.038,250.604,267.07,224.821,227.407,241.033,221.971
270.446,280.169,311.649,541.834,479.846,328.026,300.462,235.928,236.709,196.794,250.359,271.944,247.063,274.073,223.624,226.832,245.283,216.826
273.655,277.911,314.364,544.115,477.797,321.783,301.736,232.011,238.997,190.103,255.166,276.692,247.677,270.009,222.401,220.435,246.234,211.88
272.278,291.142,322.522,570.767,496.685,335.419,312.646,235.649,226.431,197.17,255.408,278.106,243.351,269.51,224.926,226.042,251.956,220.616
271.626,293.971,320.353,563.523,505.418,327.812,298.767,229.492,231.988,190.395,251.994,270.63,238.957,257.226,216.557,222.463,239.221,217.687
277.397,287.776,305.375,529.302,485.106,319.372,293.792,228.896,223.384,190.46,247.371,268.123,240.97,255.185,215.086,217.047,249.206,211.291
270.613,279.16,289.096,489.528,441.904,317.786,302.715,228.766,232.125,191.01,249.641,277.173,238.29,248.531,208.903,211.248,237.09,210.086
274.677,273.682,284.555,459.537,410.286,328.328,304.396,232.577,229.144,191.63,248.887,275.589,240.005,243.243,207.767,213.023,243.1,211.516
271.542,269.202,277.662,442.394,408.81,326.933,301.802,228.008,221.997,191.103,251.426,272.938,233.308,241.326,208.303,210.846,242.987,216.711
283.534,287.208,289.98,470.127,418.717,320.677,306.111,227.702,225.784,194.447,257.73,269.481,235.02,244.475,210.496,217.107,249.925,222.533
290.591,293.129,305.129,494.468,437.502,321.446,303.188,221.255,232.503,195.199,254.439,277.261,241.735,249.076,212.571,216.556,258.308,224.462
296.281,311.455,322.945,546.147,474.572,329.029,302.819,221.391,221.216,195.18,250.334,278.504,235.737,252.065,214.968,219.442,270.008,236.922
298.734,325.584,344.033,572.795,511.711,338.727,296.497,227.867,229.884,186.193,256.362,273.422,245.967,255.654,216.032,227.042,270.29,236.648
297.131,332.684,354.616,595.806,543.743,331.361,300.462,225.495,228.091,192.772,256.279,273.029,240.793,263.434,217.74,224.857,265.722,241.347
293.298,330.681,362.572,612.565,565.852,336.22,302.677,222.673,223.606,187.656,248.598,276.443,243.424,258.194,208.08,214.813,254.198,231.858
296.389,337.553,363.704,625.403,582.383,341.023,299.913,227.314,222.188,188.727,246.896,280.525,239.298,245.589,199.059,203.893,241.907,229.32
291.069,333.234,370.539,618.341,597.601,349.226,298.399,227.734,228.294,183.833,250.009,276.108,235.73,238.871,195.376,192.18,228.378,222.787
